# nom	categorie	source — genere par tools/generer_index_hpcf.py
1Custom SA02	711 in-ear	crinacle
1Custom SA03	711 in-ear	crinacle
1Custom SA05	711 in-ear	crinacle
1MORE Aero (ANC Off)	GRAS RA0045 in-ear	HypetheSonics
1MORE Aero (ANC On)	GRAS RA0045 in-ear	HypetheSonics
1MORE Aero (transparency mode)	GRAS RA0045 in-ear	HypetheSonics
1MORE ComfoBuds Mini	in-ear	DHRME
1MORE Crystal Piston	in-ear	Innerfidelity
1MORE Dual Driver	711 in-ear	crinacle
1MORE EVO	GRAS RA0045 in-ear	HypetheSonics
1MORE Fit Open Earbuds S50	GRAS RA0045 in-ear	HypetheSonics
1MORE Fit Open Earbuds S50	in-ear	Regan Cipher
1MORE Fit SE S30	GRAS RA0045 in-ear	HypetheSonics
1MORE MK801	GRAS 43AG-7 over-ear	crinacle
1MORE MK801	over-ear	Innerfidelity
1MORE Multi Unit Earphones	in-ear	Innerfidelity
1MORE Omthing Airfree 2	in-ear	Regan Cipher
1MORE Penta Driver	GRAS RA0045 in-ear	HypetheSonics
1MORE Piston	711 in-ear	crinacle
1MORE Piston Classic	HMS II.3 in-ear	Rtings
1MORE Piston Fit	HMS II.3 in-ear	Rtings
1MORE PistonBuds Pro	GRAS RA0045 in-ear	HypetheSonics
1MORE PistonBuds Pro Q30	in-ear	Regan Cipher
1MORE Quad Driver	711 in-ear	crinacle
1MORE Quad Driver	Bruel & Kjaer 5128 in-ear	HypetheSonics
1MORE Quad Driver	in-ear	oratory1990
1MORE Quad Driver	HMS II.3 in-ear	Rtings
1MORE Single Driver	711 in-ear	crinacle
1MORE Single Driver	in-ear	oratory1990
1MORE SonoFlow	over-ear	oratory1990
1MORE Stylish	711 in-ear	crinacle
1MORE Triple Driver	711 in-ear	crinacle
1MORE Triple Driver	Bruel & Kjaer 5128 in-ear	HypetheSonics
1MORE Triple Driver	in-ear	Innerfidelity
1MORE Triple Driver	HMS II.3 in-ear	Rtings
1MORE Triple Driver LTNG	in-ear	oratory1990
1MORE Triple Driver Over Ear	over-ear	Innerfidelity
1MORE Triple Driver Over Ear	over-ear	oratory1990
1MORE Voice of China	in-ear	Innerfidelity
634ears MIROAK-II	in-ear	Super Review
64 Audio A12t	711 in-ear	crinacle
64 Audio A12t (CIEM)	711 in-ear	crinacle
64 Audio A12t (m15 Apex module)	in-ear	freeryder05
64 Audio A12t (m15 Apex module)	in-ear	oratory1990
64 Audio A12t (m15 Apex module)	in-ear	Super Review
64 Audio A12t (m20 Apex module)	in-ear	freeryder05
64 Audio A12t (m20 Apex module)	in-ear	oratory1990
64 Audio A12t (m20 Apex module)	in-ear	Super Review
64 Audio A12t (mX Apex module)	in-ear	freeryder05
64 Audio A12t (mX Apex module)	in-ear	Super Review
64 Audio A18s (CIEM)	711 in-ear	crinacle
64 Audio A2e	711 in-ear	crinacle
64 Audio A4t	711 in-ear	crinacle
64 Audio A6	711 in-ear	crinacle
64 Audio A6t	711 in-ear	crinacle
64 Audio A6t (m20 Apex module)	711 in-ear	crinacle
64 Audio Aspire 1	in-ear	Super Review
64 Audio Aspire 2	in-ear	Super Review
64 Audio Aspire 3	in-ear	Super Review
64 Audio Aspire 4	in-ear	Super Review
64 Audio Duo	711 in-ear	crinacle
64 Audio Duo	in-ear	Kazi
64 Audio Duo	in-ear	Super Review
64 Audio Fourte Blanc	in-ear	Super Review
64 Audio N8  (CIEM)	711 in-ear	crinacle
64 Audio N8  (m15 Apex module)	711 in-ear	crinacle
64 Audio N8  (m15 Apex module)	in-ear	freeryder05
64 Audio N8 (CIEM, m15 Apex module)	711 in-ear	crinacle
64 Audio N8 (CIEM, m20 Apex module)	711 in-ear	crinacle
64 Audio N8 (dd disabled)	711 in-ear	crinacle
64 Audio N8 (m2 Apex module)	in-ear	freeryder05
64 Audio N8 (m20 Apex module, modded)	711 in-ear	crinacle
64 Audio N8 (modded)	711 in-ear	crinacle
64 Audio N8 (MX Apex module)	in-ear	freeryder05
64 Audio N8 (vent blocked)	711 in-ear	crinacle
64 Audio N8t (m15 Apex module)	711 in-ear	crinacle
64 Audio Nio (Fir Audio black module)	in-ear	Super Review
64 Audio Nio (Fir Audio red module)	in-ear	Super Review
64 Audio Nio (m12 Apex module)	in-ear	Super Review
64 Audio Nio (m15 Apex module)	711 in-ear	crinacle
64 Audio Nio (m15 Apex module)	GRAS RA0045 in-ear	HypetheSonics
64 Audio Nio (m15 Apex module)	in-ear	Super Review
64 Audio Nio (m20 Apex module)	711 in-ear	crinacle
64 Audio Nio (m20 Apex module)	Bruel & Kjaer 4620 in-ear	crinacle
64 Audio Nio (m20 Apex module)	GRAS RA0045 in-ear	HypetheSonics
64 Audio Nio (m20 Apex module)	in-ear	Super Review
64 Audio Nio (mX Apex module)	711 in-ear	crinacle
64 Audio Nio (mX Apex module)	GRAS RA0045 in-ear	HypetheSonics
64 Audio Nio (mX Apex module)	in-ear	Super Review
64 Audio Solo	in-ear	Jaytiss
64 Audio Solo	in-ear	Super Review
64 Audio Tia Fourte	711 in-ear	crinacle
64 Audio Tia Fourte	GRAS RA0045 in-ear	HypetheSonics
64 Audio Tia Fourte	in-ear	Super Review
64 Audio Tia Fourte Noir	711 in-ear	crinacle
64 Audio Tia Fourte Noir	GRAS RA0045 in-ear	HypetheSonics
64 Audio Tia Trio	711 in-ear	crinacle
64 Audio Tia Trio	in-ear	Harpo
64 Audio Tia Trio	in-ear	Kazi
64 Audio Tia Trio	in-ear	Super Review
64 Audio U12t	711 in-ear	crinacle
64 Audio U12t	in-ear	Kazi
64 Audio U12t (Fir Audio red module)	in-ear	Super Review
64 Audio U12t (m12 Apex module)	in-ear	Super Review
64 Audio U12t (m15 Apex module)	GRAS RA0045 in-ear	HypetheSonics
64 Audio U12t (m15 Apex module)	in-ear	Super Review
64 Audio U12t (m15 Apex module)	in-ear	ToneDeafMonk
64 Audio U12t (m20 Apex module)	GRAS RA0045 in-ear	HypetheSonics
64 Audio U12t (m20 Apex module)	in-ear	Super Review
64 Audio U12t (m20 Apex module)	in-ear	ToneDeafMonk
64 Audio U12t (mX Apex module)	GRAS RA0045 in-ear	HypetheSonics
64 Audio U12t (mX Apex module)	in-ear	Super Review
64 Audio U12t (mX Apex module)	in-ear	ToneDeafMonk
64 Audio U18S	711 in-ear	crinacle
64 Audio U18s (m20 Apex module)	in-ear	Super Review
64 Audio U18t	711 in-ear	crinacle
64 Audio U18t	GRAS RA0045 in-ear	HypetheSonics
64 Audio U18t (2014)	711 in-ear	crinacle
64 Audio U18t (2017)	711 in-ear	crinacle
64 Audio U18t (m15 Apex module)	in-ear	Super Review
64 Audio U18t (m20 apex module)	711 in-ear	crinacle
64 Audio U18t (m20 Apex module)	in-ear	Super Review
64 Audio U18t (mX Apex module)	in-ear	Super Review
64 Audio U4S (Fir Audio black module)	in-ear	Super Review
64 Audio U4S (Fir Audio red module)	in-ear	Super Review
64 Audio U4S (m12 Apex module)	in-ear	freeryder05
64 Audio U4S (m12 Apex module)	in-ear	Jaytiss
64 Audio U4S (m12 Apex module)	in-ear	Super Review
64 Audio U4S (m15 Apex module)	in-ear	freeryder05
64 Audio U4S (m15 Apex module)	in-ear	Super Review
64 Audio U4S (m20 Apex module)	in-ear	freeryder05
64 Audio U4S (m20 Apex module)	in-ear	Super Review
64 Audio U4S (mX Apex module)	in-ear	freeryder05
64 Audio U4S (mX Apex module)	in-ear	Super Review
64 Audio U6t (m15 Apex module)	in-ear	Jaytiss
64 Audio U6t (m15 Apex module)	in-ear	Super Review
64 Audio Volur	GRAS RA0045 in-ear	HypetheSonics
64 Audio Volur	in-ear	Jaytiss
64 Audio Volur (m12 Apex module)	in-ear	Jaytiss
64 Audio Volur (m12 Apex module)	in-ear	Super Review
64 Audio Volur (m12 Apex module)	in-ear	ToneDeafMonk
64 Audio Volur (m15 Apex module)	in-ear	Jaytiss
64 Audio Volur (m15 Apex module)	in-ear	Super Review
64 Audio Volur (m15 Apex module)	in-ear	ToneDeafMonk
64 Audio Volur (m20 Apex module)	in-ear	Jaytiss
64 Audio Volur (m20 Apex module)	in-ear	Super Review
64 Audio Volur (m20 Apex module)	in-ear	ToneDeafMonk
64 Audio Volur (mX Apex module)	in-ear	Jaytiss
64 Audio Volur (mX Apex module)	in-ear	Super Review
64 Audio Volur (mX Apex module)	in-ear	ToneDeafMonk
7Hz Aurora	in-ear	Jaytiss
7Hz Eternal	711 in-ear	crinacle
7Hz Eternal	Bruel & Kjaer 4620 in-ear	crinacle
7Hz Eternal	in-ear	Harpo
7Hz Five	in-ear	Jaytiss
7Hz G1	in-ear	Hi End Portable
7Hz G1	in-ear	Jaytiss
7Hz Legato	in-ear	Fahryst
7Hz Legato	in-ear	Harpo
7Hz Legato	in-ear	Hi End Portable
7Hz Legato	in-ear	RikudouGoku
7Hz Legato	in-ear	ToneDeafMonk
7Hz Salnotes Dioko	711 in-ear	crinacle
7Hz Salnotes Dioko	in-ear	Filk
7Hz Salnotes Dioko	in-ear	Jaytiss
7Hz Salnotes Dioko	in-ear	kr0mka
7Hz Salnotes Dioko	in-ear	oratory1990
7Hz Salnotes Dioko	in-ear	Ted's Squig Hoard
7Hz Salnotes Dioko Spring	in-ear	kr0mka
7Hz Salnotes Zero	in-ear	Auriculares Argentina
7Hz Salnotes Zero	711 in-ear	crinacle
7Hz Salnotes Zero	Bruel & Kjaer 4620 in-ear	crinacle
7Hz Salnotes Zero	in-ear	Fahryst
7Hz Salnotes Zero	in-ear	freeryder05
7Hz Salnotes Zero	in-ear	Harpo
7Hz Salnotes Zero	GRAS RA0045 in-ear	HypetheSonics
7Hz Salnotes Zero	in-ear	Jaytiss
7Hz Salnotes Zero	in-ear	oratory1990
7Hz Salnotes Zero	in-ear	Super Review
7Hz Salnotes Zero	in-ear	Ted's Squig Hoard
7Hz Salnotes Zero 2	in-ear	ToneDeafMonk
7Hz Sonus	in-ear	Harpo
7Hz Sonus	in-ear	Hi End Portable
7Hz Sonus	in-ear	Jaytiss
7Hz Sonus	in-ear	ToneDeafMonk
7Hz Timeless	711 in-ear	crinacle
7Hz Timeless	in-ear	Fahryst
7Hz Timeless	in-ear	Filk
7Hz Timeless	in-ear	Harpo
7Hz Timeless	in-ear	kr0mka
7Hz Timeless	in-ear	oratory1990
7Hz Timeless	in-ear	RikudouGoku
7Hz Timeless	HMS II.3 in-ear	Rtings
7Hz Timeless	in-ear	Super Review
7Hz Timeless AE	Bruel & Kjaer 4620 in-ear	crinacle
7Hz Timeless AE	in-ear	Fahryst
7Hz Timeless II	in-ear	Jaytiss
7Hz Timeless II (bullet gold nozzle)	in-ear	Hi End Portable
7Hz Timeless II (bullet silver nozzle)	in-ear	Hi End Portable
7Hz Timeless II (flat gold nozzle)	in-ear	Hi End Portable
7Hz Timeless II (flat silver nozzle)	in-ear	Hi End Portable
7Hz Timless II	in-ear	Jaytiss
7Hz x Crinacle Zero 2	711 in-ear	crinacle
7Hz x Crinacle Zero 2	Bruel & Kjaer 4620 in-ear	crinacle
7Hz x Crinacle Zero 2	in-ear	Hi End Portable
7Hz x Crinacle Zero 2	in-ear	Jaytiss
7Hz x Crinacle Zero 2	in-ear	Regan Cipher
7Hz x Crinacle Zero 2	in-ear	Super Review
7Hz x Crinacle Zero 2	in-ear	ToneDeafMonk
7Hz x HBB Elua	in-ear	Jaytiss
7th Acoustics Proxima	in-ear	Super Review
7th Acoustics Stargazer	in-ear	Jaytiss
7th Acoustics Stargazer	in-ear	ToneDeafMonk
7th Acoustics Supernova	in-ear	freeryder05
7th Acoustics Supernova	in-ear	Jaytiss
7th Acoustics Supernova	in-ear	Super Review
A-Audio Elite (ANC on)	over-ear	Innerfidelity
A-Audio Elite (bass mode)	over-ear	Innerfidelity
A-Audio Elite (passive)	over-ear	Innerfidelity
AAW (Advanced AcousticWerkes) ASH	711 in-ear	crinacle
AAW (Advanced AcousticWerkes) Canary	711 in-ear	crinacle
AAW A2H V2	711 in-ear	crinacle
AAW A3H	711 in-ear	crinacle
AAW A3H (2019)	711 in-ear	crinacle
AAW A3H Plus	711 in-ear	crinacle
AAW A3H V2	711 in-ear	crinacle
AAW ACH	711 in-ear	crinacle
AAW AXH	711 in-ear	crinacle
AAW AXH	GRAS RA0045 in-ear	HypetheSonics
AAW AXH (2019)	711 in-ear	crinacle
AAW Halcyon (bass filter)	711 in-ear	crinacle
AAW Halcyon (norm filter)	711 in-ear	crinacle
AAW Halcyon (Vokal filter)	711 in-ear	crinacle
AAW Kingfisher	711 in-ear	crinacle
AAW Mockingbird	711 in-ear	crinacle
AAW Nightingale	711 in-ear	crinacle
AAW W500	711 in-ear	crinacle
AAW W900	711 in-ear	crinacle
AAW W900	GRAS RA0045 in-ear	HypetheSonics
AAW x Custom Art Project 4+2 (bass filter)	711 in-ear	crinacle
AAW x Custom Art Project 4+2 (norm filter)	711 in-ear	crinacle
AAW x Custom Art Project 4+2 (Vokal filter)	711 in-ear	crinacle
AAW Z02	in-ear	ToneDeafMonk
AAW Z06	in-ear	ToneDeafMonk
Abyss AB-1266	over-ear	Innerfidelity
Abyss AB-1266 Phi	GRAS 43AG-7 over-ear	crinacle
Abyss AB-1266 Phi	over-ear	Kuulokenurkka
Abyss AB-1266 Phi CC	GRAS 43AG-7 over-ear	crinacle
Abyss AB-1266 Phi CC Lite	EARS + 711 over-ear	crinacle
Abyss AB1-266 Phi TC	over-ear	Kuulokenurkka
Abyss AB1-266 Phi TC	over-ear	oratory1990
Abyss Diana MR	over-ear	kr0mka
Abyss Diana Phi	EARS + 711 over-ear	crinacle
Abyss Diana Phi	GRAS 43AG-7 over-ear	crinacle
Abyss Diana V2	GRAS 43AG-7 over-ear	crinacle
Accidentally Extraordinary 51st Studios	over-ear	Innerfidelity
Accidentally Extraordinary Bamboo	in-ear	Innerfidelity
ACEFAST Crystal T8	in-ear	Kazi
Acoustic Research AR-H1	GRAS 43AG-7 over-ear	crinacle
Acoustic Research AR-H1	over-ear	Innerfidelity
Acoustune HS1001	711 in-ear	crinacle
Acoustune HS1003	711 in-ear	crinacle
Acoustune HS1004	711 in-ear	crinacle
Acoustune HS1300	711 in-ear	crinacle
Acoustune HS1501	711 in-ear	crinacle
Acoustune HS1503	711 in-ear	crinacle
Acoustune HS1551	711 in-ear	crinacle
Acoustune HS1650	711 in-ear	crinacle
Acoustune HS1655	711 in-ear	crinacle
Acoustune HS1657	711 in-ear	crinacle
Acoustune HS1670	711 in-ear	crinacle
Acoustune HS1677	711 in-ear	crinacle
Acoustune HS1695	711 in-ear	crinacle
Acoustune HS1697	711 in-ear	crinacle
Acoustune HS1750	711 in-ear	crinacle
Acoustune HS1790	711 in-ear	crinacle
Acoustune HS2000MX	711 in-ear	crinacle
Acoustune RS ONE	in-ear	Super Review
Adam SP-5	over-ear	oratory1990
Advanced 747 (ANC off)	711 in-ear	crinacle
Advanced 747 (ANC on)	711 in-ear	crinacle
Advanced Alpha (shallow earpads)	over-ear	Innerfidelity
Advanced Elise	711 in-ear	crinacle
Advanced Evo X	711 in-ear	crinacle
Advanced Furai	Bruel & Kjaer 4620 in-ear	crinacle
Advanced GT-R	over-ear	oratory1990
Advanced GT3 (bass)	711 in-ear	crinacle
Advanced GT3 (ref)	711 in-ear	crinacle
Advanced GT3 (treble)	711 in-ear	crinacle
Advanced GT3 Superbass (bass)	711 in-ear	crinacle
Advanced GT3 Superbass (ref)	711 in-ear	crinacle
Advanced GT3 Superbass (treble)	711 in-ear	crinacle
Advanced M3	711 in-ear	crinacle
Advanced M4	711 in-ear	crinacle
Advanced M4	GRAS RA0045 in-ear	HypetheSonics
Advanced M4	in-ear	Innerfidelity
Advanced M51D	711 in-ear	crinacle
Advanced M55D	711 in-ear	crinacle
Advanced Model X	711 in-ear	crinacle
Advanced S2000	711 in-ear	crinacle
Advanced Sleeper	Bruel & Kjaer 4620 in-ear	crinacle
Aedle VK1	over-ear	Innerfidelity
AfterShokz Aeropex	HMS II.3 earbud	Rtings
AfterShokz Trekz Air	HMS II.3 earbud	Rtings
AFUL Acoustics Cantor	in-ear	Super Review
AFUL Acoustics MagicOne	in-ear	Filk
AFUL Acoustics MagicOne	in-ear	Kazi
AFUL Acoustics MagicOne	in-ear	Super Review
AFUL Acoustics Performer 5+2	in-ear	Super Review
AFUL Cantor	in-ear	Jaytiss
AFUL Cantor	in-ear	ToneDeafMonk
AFUL Explorer	in-ear	Fahryst
AFUL Explorer	in-ear	Jaytiss
AFUL Explorer	in-ear	Super Review
AFUL Explorer 3	in-ear	ToneDeafMonk
AFUL MagicOne (foam eartips)	in-ear	Jaytiss
AFUL Performer 5	in-ear	Jaytiss
AFUL Performer 5	in-ear	Super Review
AFUL Performer 7	in-ear	Jaytiss
AFUL Performer 7	in-ear	ToneDeafMonk
AFUL Performer 8	in-ear	Jaytiss
AFUL Performer 8	in-ear	kr0mka
AFUL Performer 8	in-ear	Super Review
AFUL Performer 8	in-ear	ToneDeafMonk
Agasound AGA ONE	in-ear	ToneDeafMonk
Aiaiai TMA-1	over-ear	Innerfidelity
Aiaiai TMA-1 Studio	over-ear	Innerfidelity
Aiaiai TMA-2 DJ	Bruel & Kjaer 5128 over-ear	Rtings
Aiaiai TMA-2 HD Wireless	over-ear	oratory1990
Aiderlot M5 (bass filter)	in-ear	RikudouGoku
Aiderlot M5 (no filter)	in-ear	RikudouGoku
Aiderlot M5 (reference filter)	in-ear	RikudouGoku
Aiderlot M5 (treble filter)	in-ear	RikudouGoku
Aiderlot M5 Pro	in-ear	RikudouGoku
Akai MPC	over-ear	Innerfidelity
AKG K1000	over-ear	Innerfidelity
AKG K167 Tiesto	over-ear	Innerfidelity
AKG K240 MKII	over-ear	Headphone.com Legacy
AKG K240 MKII	over-ear	oratory1990
AKG K240 MKII	HMS II.3 over-ear	Rtings
AKG K240 Monitor	over-ear	Innerfidelity
AKG K240 Sextett	over-ear	Innerfidelity
AKG K240 Sextett	over-ear	oratory1990
AKG K240 Sextett (Dekoni Choice Leather DT earpads)	over-ear	oratory1990
AKG K240 Studio	GRAS 43AG-7 over-ear	crinacle
AKG K240 Studio	over-ear	oratory1990
AKG K240DF	over-ear	Innerfidelity
AKG K250	over-ear	oratory1990
AKG K267	over-ear	oratory1990
AKG K267 Tiesto (club)	over-ear	Innerfidelity
AKG K267 Tiesto (stage)	over-ear	Innerfidelity
AKG K267 Tiesto (studio)	over-ear	Innerfidelity
AKG K271 MKII	over-ear	Headphone.com Legacy
AKG K271 MKII	over-ear	Innerfidelity
AKG K271 MKII	over-ear	oratory1990
AKG K272HD	over-ear	Headphone.com Legacy
AKG K272HD	over-ear	Innerfidelity
AKG K280 Parabolic	over-ear	oratory1990
AKG K3003	in-ear	oratory1990
AKG K3003 (bass boost filter)	in-ear	Headphone.com Legacy
AKG K3003 (bass boost filter)	in-ear	Innerfidelity
AKG K3003 (high boost filter)	in-ear	Headphone.com Legacy
AKG K3003 (high boost filter)	in-ear	Innerfidelity
AKG K3003 (reference filter)	in-ear	Headphone.com Legacy
AKG K3003 (reference filter)	in-ear	Innerfidelity
AKG K340	over-ear	Innerfidelity
AKG K361	over-ear	Kuulokenurkka
AKG K361	over-ear	oratory1990
AKG K361	Bruel & Kjaer 5128 over-ear	Rtings
AKG K371	GRAS 43AG-7 over-ear	crinacle
AKG K371	over-ear	Filk
AKG K371	over-ear	oratory1990
AKG K371	HMS II.3 over-ear	Rtings
AKG K371	over-ear	Super Review
AKG K371 (Brainwavz oval earpads)	over-ear	oratory1990
AKG K376	in-ear	Innerfidelity
AKG K44	HMS II.3 over-ear	Rtings
AKG K450	over-ear	Innerfidelity
AKG K501	over-ear	Innerfidelity
AKG K518LE	over-ear	Innerfidelity
AKG K52	over-ear	Auriculares Argentina
AKG K52	GRAS 43AG-7 over-ear	crinacle
AKG K52	over-ear	oratory1990
AKG K550	over-ear	Headphone.com Legacy
AKG K550	over-ear	Innerfidelity
AKG K553	over-ear	oratory1990
AKG K601	over-ear	Headphone.com Legacy
AKG K601	over-ear	oratory1990
AKG K601 (2007)	over-ear	Innerfidelity
AKG K601 (Dekoni sheepskin earpads)	over-ear	oratory1990
AKG K601 (K701 earpads)	over-ear	oratory1990
AKG K612	over-ear	Innerfidelity
AKG K612	over-ear	oratory1990
AKG K612 Pro	over-ear	Auriculares Argentina
AKG K612 Pro	GRAS 43AG-7 over-ear	crinacle
AKG K619	over-ear	Innerfidelity
AKG K67 Tiesto	over-ear	Innerfidelity
AKG K701	over-ear	Auriculares Argentina
AKG K701	GRAS 43AG-7 over-ear	crinacle
AKG K701	over-ear	Headphone.com Legacy
AKG K701	over-ear	Innerfidelity
AKG K701	over-ear	oratory1990
AKG K701	HMS II.3 over-ear	Rtings
AKG K701 (sample A)	over-ear	Innerfidelity
AKG K701 (sample B)	over-ear	Innerfidelity
AKG K702	over-ear	Auriculares Argentina
AKG K702	GRAS 43AG-7 over-ear	crinacle
AKG K702	over-ear	Headphone.com Legacy
AKG K702	over-ear	Innerfidelity
AKG K702	over-ear	oratory1990
AKG K702	HMS II.3 over-ear	Rtings
AKG K702 (Brainwavz XL earpads)	over-ear	oratory1990
AKG K702 (Geekria earpads)	over-ear	oratory1990
AKG K702 65th Anniversary Edition	over-ear	Innerfidelity
AKG K702 65th Anniversary Edition	over-ear	oratory1990
AKG K712	GRAS 43AG-7 over-ear	crinacle
AKG K712	over-ear	Headphone.com Legacy
AKG K712	over-ear	Innerfidelity
AKG K712	over-ear	oratory1990
AKG K712	over-ear	Super Review
AKG K712 (Dekoni sheepskin earpads)	over-ear	oratory1990
AKG K712 PRO	over-ear	Kuulokenurkka
AKG K712 PRO	HMS II.3 over-ear	Rtings
AKG K72	GRAS 43AG-7 over-ear	crinacle
AKG K72	over-ear	oratory1990
AKG K7XX	GRAS 43AG-7 over-ear	crinacle
AKG K7XX	over-ear	Innerfidelity
AKG K7XX	over-ear	oratory1990
AKG K7XX	over-ear	Super Review
AKG K81 DJ	over-ear	Headphone.com Legacy
AKG K81 DJ	over-ear	Innerfidelity
AKG K812	GRAS 43AG-7 over-ear	crinacle
AKG K812	over-ear	Headphone.com Legacy
AKG K812	over-ear	Innerfidelity
AKG K812	over-ear	oratory1990
AKG K812 (serial number 001130)	over-ear	Innerfidelity
AKG K872	over-ear	oratory1990
AKG K872 Pro	GRAS 43AG-7 over-ear	crinacle
AKG K92	GRAS 43AG-7 over-ear	crinacle
AKG K92	over-ear	oratory1990
AKG N20	in-ear	oratory1990
AKG N200	HMS II.3 in-ear	Rtings
AKG N400	711 in-ear	crinacle
AKG N400	Bruel & Kjaer 5128 in-ear	HypetheSonics
AKG N400	in-ear	oratory1990
AKG N5005	in-ear	oratory1990
AKG N5005 (bass boost)	711 in-ear	crinacle
AKG N5005 (bass boost)	in-ear	Fahryst
AKG N5005 (bass boost)	GRAS RA0045 in-ear	HypetheSonics
AKG N5005 (high)	711 in-ear	crinacle
AKG N5005 (high)	in-ear	Fahryst
AKG N5005 (high)	GRAS RA0045 in-ear	HypetheSonics
AKG N5005 (mid high)	711 in-ear	crinacle
AKG N5005 (mid high)	in-ear	Fahryst
AKG N5005 (mid high)	GRAS RA0045 in-ear	HypetheSonics
AKG N5005 (reference)	711 in-ear	crinacle
AKG N5005 (reference)	in-ear	Fahryst
AKG N5005 (reference)	GRAS RA0045 in-ear	HypetheSonics
AKG N60 NC (wired, passive)	over-ear	Innerfidelity
AKG N60 NC Wireless	over-ear	oratory1990
AKG N60 NC Wireless	HMS II.3 over-ear	Rtings
AKG N700NC	HMS II.3 over-ear	Rtings
AKG N700NC M2	GRAS 43AG-7 over-ear	crinacle
AKG N700NC M2	over-ear	oratory1990
AKG N700NC M2	HMS II.3 over-ear	Rtings
AKG N700NC M2 (ANC on)	over-ear	Filk
AKG N700NC M2 (passive)	over-ear	Filk
AKG N9 Hybrid	over-ear	Kuulokenurkka
AKG N9 Hybrid (ANC on)	over-ear	Kuulokenurkka
AKG N9 Hybrid (ANC on, studio preset)	over-ear	Kuulokenurkka
AKG N9 Hybrid (passive)	over-ear	Kuulokenurkka
AKG N90Q	over-ear	Innerfidelity
AKG Q350 Quincy Jones	in-ear	Headphone.com Legacy
AKG Q350 Quincy Jones	in-ear	Innerfidelity
AKG Q460 Quincy Jones	over-ear	Headphone.com Legacy
AKG Q460 Quincy Jones	over-ear	Innerfidelity
AKG Q701	over-ear	oratory1990
AKG Q701	HMS II.3 over-ear	Rtings
AKG Q701	over-ear	Super Review
AKG Q701 Quincy Jones	over-ear	Headphone.com Legacy
AKG Q701 Quincy Jones	over-ear	Innerfidelity
AKG Y50BT	over-ear	oratory1990
Akoustyx R-120	in-ear	Super Review
Akoustyx R-220	in-ear	oratory1990
Akoustyx R-220	in-ear	Super Review
Akoustyx S-6	in-ear	Super Review
Alclair Electro	711 in-ear	crinacle
Alclair Studio3	711 in-ear	crinacle
Alclair Studio4	711 in-ear	crinacle
Alclair Studio4	Bruel & Kjaer 4620 in-ear	crinacle
Alclair Versa	711 in-ear	crinacle
Allen & Heath XD-53	over-ear	oratory1990
Alpha & Delta AD01	in-ear	Innerfidelity
Alpha & Delta D6	Bruel & Kjaer 4620 in-ear	crinacle
Alpha & Delta KS1	in-ear	ToneDeafMonk
Alpha & Delta KS100	in-ear	Regan Cipher
Alpha & Delta KS3	711 in-ear	crinacle
Alpha & Delta KS3	Bruel & Kjaer 4620 in-ear	crinacle
Alpha & Delta KS3	in-ear	ToneDeafMonk
Alpha Design Labs H128	over-ear	Innerfidelity
Alpha Omega Omega (off-off-off)	in-ear	Super Review
Alpha Omega Omega (off-off-off)	in-ear	ToneDeafMonk
Alpha Omega Omega (off-off-on)	in-ear	ToneDeafMonk
Alpha Omega Omega (off-on-off)	in-ear	ToneDeafMonk
Alpha Omega Omega (off-on-on)	in-ear	ToneDeafMonk
Alpha Omega Omega (on-off-off)	in-ear	ToneDeafMonk
Alpha Omega Omega (on-off-on)	in-ear	ToneDeafMonk
Alpha Omega Omega (on-on-off)	in-ear	Super Review
Alpha Omega Omega (on-on-off)	in-ear	ToneDeafMonk
Alpha Omega Omega (on-on-on)	in-ear	Super Review
Alpha Omega Omega (on-on-on)	in-ear	ToneDeafMonk
Alpha Omega Omega on-off-off)	in-ear	Super Review
Alpha Omega Ra	in-ear	Super Review
Altec Lansing True Evo	HMS II.3 in-ear	Rtings
Altiat Cal.1H	GRAS 43AG-7 over-ear	crinacle
Amazon Echo Buds	in-ear	oratory1990
Amazon Echo Buds	HMS II.3 in-ear	Rtings
Amazon Echo Buds Gen 2	HMS II.3 in-ear	Rtings
Amazon Echo Buds Gen 3	HMS II.3 in-ear	Rtings
AmazonBasics Lightweight On Ear	HMS II.3 over-ear	Rtings
Ambient Acoustics AM16	711 in-ear	crinacle
Ambient Acoustics AM24	711 in-ear	crinacle
Ambient Acoustics AM7	711 in-ear	crinacle
Ambient Acoustics AM7 (blue)	711 in-ear	crinacle
Ambient Acoustics AM7 (red)	711 in-ear	crinacle
Ambient Acoustics AM7 (yellow)	711 in-ear	crinacle
Ambient Acoustics MAD16	711 in-ear	crinacle
Ambient Acoustics MAD24	711 in-ear	crinacle
Ambient Dynamics AD-006 Lyndale	711 in-ear	crinacle
AME Aura	in-ear	Jaytiss
AME Gaia	in-ear	Jaytiss
AME Mousa	in-ear	Jaytiss
AME Radioso	in-ear	Jaytiss
AME Raven KR version	in-ear	Jaytiss
Andover Audio PM-50 (medium squared earpads)	over-ear	oratory1990
Andover Audio PM-50 (small rounded earpads)	over-ear	oratory1990
Anew U1	in-ear	Hi End Portable
Anker Liberty 4 Pro	in-ear	DHRME
Anker Liberty 5	in-ear	DHRME
Anker Life P2i	in-ear	Regan Cipher
Anker P3i	in-ear	Regan Cipher
Anker SoundBuds Curve	HMS II.3 in-ear	Rtings
